,title,title_label,description,description_label
0,김병민 &quot;기본소득도 필요하면 논의 테이블에 올려야&quot; [인터뷰],0,변화의 핵심 중에서는 우리 사회가 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19)의 위기를 마주하고 있다. 언제 끝이날 지 또 앞으로 어떠한 미래가 펼치질 지 모른다. 국가가 나서서 국민의 어려움을 해결해 줘야 한다. 저희... ,1
1,"경기도의회 농정해양위, 농민기본소득 도입 이재명 지사와 집행부에 강력 촉구",1,"한편, '<b>코로나</b>19'로 인한 해외의 식재료 사재기에서 보듯이 국민들의 먹거리를 안정적으로 생산하는 것은 '포스트 <b>코로나</b>'의 주요과제로 부각되고 있어, 농민기본소득 도입을 통해 안정적인 생산기반을 확충하는 것은... ",1
2,"당신이 아는 미술, 시장이 아는 미술 ④ 한국 현대 미술 시장을 이끄는 작가",1,최근 갤러리 현대 창업 50주년 기념전에 이 작품이 전시되자 <b>코로나</b>19의 영향에도 마스크를 착용한 관람객의... 미술계 트렌드 그리고 한국 미술 시장 글 정태희 서울옥션 스페셜리스트 세계 경기 침체와 <b>코로나</b>19 여파로... ,1
3,"BBQ, 상반기 신입 및 경력직 공채 시행",0,<b>코로나</b>19 감안해 1차 면접 ‘비대면 역량검사’ 도입 국내 최대 치킨 프랜차이즈인 제너시스 비비큐(회장... BBQ 채용관계자는 “BBQ는 한국을 대표하는 책임감 있는 브랜드로서 <b>코로나</b>19로 침체된 채용 분위기... ,1
4,미소짓는 의료진,1,4일 오후 서울 중랑구 서울의료원에서 열린 '서울의료원 잠시멈춤 콘서트'에서 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 환자 진료를 위해 수고해 온 의료진들이 가수 폴 킴의 공연을 보고 있다. 2020.6.4/뉴스1,1
5,"휴넷, 리더십 게임러닝 프로그램 '아르고' 출시",0,"플립러닝은 온라인 학습 후 교실에서 토론 및 심화학습을 거쳐 ‘거꾸로 교실’이라고도 불리며, 포스트 <b>코로나</b> 시대 교육 방식으로 주목받고 있다. 아르고 리더십 편은 다양한 상황에 따라 게임을 통해 리더십 유형을... ",1
6,"광주 서구 양동, 민·관 협력으로 주거환경 개선",1,"특히 오래된 도배·장판 및 침대, 장롱 등 가구 교체와 함께 <b>코로나</b>19 예방을 위한 방역도 진행하는 등 쾌적한 주거환경 조성에 힘썼다. 변미자 양동 동장은 &quot;어려운 이웃을 위해 봉사에 나서준 이들에게 감사하다&quot;며... ",1
7,"손흥민의 고백, “3주간의 군사훈련, 힘들지만 즐겼다”",1,<b>코로나</b> 사태가 터진 가운데 병영생활을 한 손흥민의 경험은 영국에서 화제다. 손흥민은 “첫 날은 서로 잘 몰라서 서먹했지만 금방 친해졌다. 10명이서 한 방을 썼더니 정말 친해졌다. 서로 돕고 호흡이 좋았다”고... ,1
8,"靑 “카타르 LNG선 수주, 문 대통령 경제외교 결실”",1,"청와대는 4일 “해외에서 낭보가 이어지고 있다”며 “문재인 대통령이 포스트 <b>코로나</b> 시대 경제위기... 이어 “정상회담을 통해 양국 간 협력을 에너지 외에 의료, ICT 등으로 확장했고, 최근 카타르에 <b>코로나</b> 19 관련... ",1
9,"[유통÷나누기 세상＋더하기] 세븐일레븐, 유치원 통학차량에 공기청정기 설치...",0,맥도날드는 <b>코로나</b>19로 방역 작업에 힘쓰고 있는 대구 지하철 청소 근로자에게 빅맥과 커피를 증정했다. 패션업계도 나눔 활동에 동참한다. 코오롱인더스트리 임직원들은 성과 포상금 중 7400만원을 <b>코로나</b>19로 어려움을... ,1
10,"김포 혁신교육지구 사업, 특수교육대상자를 위한 교육과정 지원",0,"정하영 김포시장은 &quot;혁신교육지구 사업 내 특수교육 대상자를 위한 사업이 별도로 편성돼 소외되는 학생들이 줄었다&quot;면서 &quot;<b>코로나</b>19로 인해 교육과정 운영이 쉽지 않을 것으로 판단되지만, 학생들의 안전을 위한 방역과... ",1
11,"[속보] 군포시청, 서울시 '리치웨이' <b>코로나</b> 확진자 동선 공개 &quot;군포로745번길...",0,"군포시청, 서울시 '리치웨이' <b>코로나</b> 확진자 동선 공개 &quot;군포로745번길 거주&quot;(자료= 군포시청) 군포시청이 서울시 '리치웨이' <b>코로나</b> 확진자의 동선을 공개했다. 4일 군포시청은 공식 블로그를 통해 &quot;서울시... ",1
12,"[함양군 브리핑] 명품 함양양파 특판, 서울서 인기몰이 등",0,"▲ 명품 함양양파 특판전 모습© (사진제공=함양군) ◆ 함양군, 4일 롯데마트 서울역점 양파소비촉진 판촉행사, <b>코로나</b>19로 지친 농심 위로 함양군이 <b>코로나</b>19 장기화에 따라 소비 위축 등 판매에 어려움을 겪고 있는... ",1
13,'이십세기' 민아 &quot;룰라 때문에 다른 가수들 앨범 일정 미뤄&quot;,1,"지난 주 방송된 KBS Joy '이십세기 힛트송' 10회에서는 '노래방 대리만족 방구석에서 즐기는 힛-트쏭 10'을 주제로, <b>코로나</b>19로 노래방 대신 집에서 흥을 폭발시켜줄 수 있는 과거 힛트송으로 시청자들의 무료함을 달랬다.... ",1
14,"LG유플러스, 3분기 개인용 'AR 글라스' 출시",0,"LG유플러스는 <b>코로나</b>19로 인한 언택트 시대에 맞춰 5일 엔리얼과 올쇼TV를 통해 AR 글라스 온라인 애플리케이션(앱) 개발 세미나를 개최한다. AR 글라스를 활용, 다양한 AR 앱을 개발할 수 있는 AR 생태계를 만들기... ",1
15,"홈플러스, 10일까지 ‘삼시육끼’ 기획전 진행",0,이창수 홈플러스 마케팅총괄이사는 “고기는 굽고 치우는 과정이 번거로워 대표적인 외식 메뉴였지만 <b>코로나</b>19 이후 대표적인 집밥 메뉴로 바뀌고 있다”며 “삼시육끼 기획전을 비롯해 앞으로도 달라진... ,1
16,"울릉군 신청사 건립 본격 착수, '입지선정위원회' 개최",0,김병수 울릉군수는 &quot;가용부지가 절대부족한 우리 울릉군 특성상 신청사 부지 선정은 우리 군 발전의 미래 100년 대계를 결정할 매우 중요한 사안이다&quot;며 &quot;<b>코로나</b>19 등으로 다소 지연됐지만 울릉군 행정력과... ,1
17,"靑 “LNG선 100척 수주, K방역 신뢰 결과물”",0,청와대가 4일 카타르 LNG(액화천연가스) 운반선 수주를 지목해 <b>코로나</b>19 사태 극복 과정에서 쌓인 K방역에... 특히 최근 카타르에 <b>코로나</b>19 관련 진단장비 공급과 K방역 경험 공유 등 양국 간 협력의 범위를 확대했다”고... ,1
18,"[산업워치] &quot;월급, 이제 AI로봇이 지급해요&quot;...LG CNS, '자동급여이체 서비스...",1,이밖에 LG유플러스는 <b>코로나</b>19로 인한 언택트 시대에 맞춰 엔리얼과 함께 AR글래스 온라인 앱 개발 세미나를 개최한다. 오는 5일 오전 10시 30분부터 한 시간 동안 올쇼TV를 통해 실시간으로 참여할 수 있으며 해당... ,1
19,[<b>코로나</b>19]안양서 '리치웨이' 방문자 등 2명 확진,0,안양시는 서울 관악구 '리치웨이' 방문자 등 2명이 <b>코로나</b>19 양성 판정을 받았다고 4일 밝혔다. 확진자는 동안구 범계동 목련아파트에 거주하는 여성 A(83)씨와 안양 37번 확진자의 가족인 B(64동안구 관양1동 동편마을... ,1
20,"'<b>코로나</b> 의료진, 공연보며 힘내세요'",1,4일 오후 서울 중랑구 서울의료원에서 열린 '서울의료원 잠시멈춤 콘서트'에서 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 환자 진료를 위해 수고해 온 의료진들이 가수 수안의 공연을 보고 있다. 2020.6.4/뉴스1,1
21,"SIDEX 2020 조직위, 초고강도 방역으로 안전한 행사 다짐",0,행사를 주최하는 서울시치과의사회(이하 서울지부)는 <b>코로나</b>19 관련 사회적 우려에 대한 심각성을... SIDEX 대회장인 김민겸 서울지부 회장은 “지난 5월 초 <b>코로나</b>19와 관련한 정부 지침이 생활방역으로 바뀌어... ,1
22,성남 판교동 건물 근무 60대 남성 4일 <b>코로나</b>19 확진,1,경기 성남시 판교동의 한 건물에서 근무 중인 60대 남성 A씨가 4일 <b>코로나</b>19 양성 판정을 받았다. 이 건물에는 학원이 있어 원생 99명과 직원 5명에 대해 시는 전수조사를 실시하기로 했다. 이어 학원과 편의점... ,1
23,서울 아파트값 10주만에 하락→보합 전환…“큰 폭 조정 없다”,0,"함영진 직방 빅데이터랩장은 “<b>코로나</b>19로 인한 시장의 충격이 거래량을 둔화시키고 있긴 하지만 가격이 큰 폭으로 조정되는 것을 기대하기는 제한적이라고 판단된다”고 밝혔다.   함 랩장은 “올해 4만1,000가구에... ",1
24,"울산의 힘 한국의 미래, 울산경제자유구역 확정",1,포스트 <b>코로나</b> 시대 극보을 위한 울산형 뉴딜사업 첫 번째 성과로 울산의 미래를 열다. 울산시는... 포스트 <b>코로나</b> 시대 극보을 위한 울산형 뉴딜사업 첫 번째 성과로 울산의 미래를 여는 새로운 발판을 마련했다는... ,1
25,"전북도, 농산시책평가 전국1위 시상금 2천만원 전액 기부",1,송하진 도지사는 &quot;<b>코로나</b>19 등 지역사회를 위해 공무원들이 앞장서서 착한 기부 릴레이를 하고 있다&quot;며 특히 &quot;천년 전북의 미래 발전을 책임질 지역인재 양성을 위해 깊은 관심을 가지고 장학사업에 동참하는 것은... ,1
26,"김포시, 국내 최초 버스 스마트 발열체크기 도입",1,정하영 시장은 &quot;장기화 되고 있는 <b>코로나</b>19로부터 우리 스스로를 지키기 위해서는 생활 속 방역이 일상화 돼야 한다&quot;며 &quot;이번 발열체크기 도입으로 시민들께서 더욱 안심하고 대중교통을 이용하실 수 있을 것 같다&quot;고... ,1
27,[전문] 남양주시청 41번째 확진자 발생 동선공개...화도읍 마석우리 서희스타...,1,남양주시청이 <b>코로나</b>19 41번째 확진자 발생을 알렸다. 남양주시 41번째 확진자는 57세 여성으로 화도읍 마석우리 서희스타힐스아파트에 거주한다. 남양주시청은 감염경로로 서대문구 30번째 확진자의... ,1
28,"평택시 새마을지도자 통복동협의회, 2020년 방역발대식 개최",1,표광오 통복동장 &quot;<b>코로나</b>19 확산의 위협이 사라지지 않은 상황에서 방역대원 모두 시민의 건강지킴이라는 자부심을 가지고 민·관이 굳건한 방역 협력체계를 구축하며 감염병 없는 건강한 통복동이 될 수 있도록 적극... ,1
29,"적십자봉사회 호평지회, 서로버팀목 후원금 50만원 기탁",1,통해 <b>코로나</b>19로 갑작스런 어려움에 처한 취약계층을 위한 후원금 50만원을 동부희망케어센터에 지정... 김복순 적십자봉사회 호평지회장은 &quot;얼마 안 되는 금액이지만 회원들의 정성을 모았다&quot;며&quot;<b>코로나</b>19로 많은... ,1
30,"서산시, 외국전문음식점·아시안마트 특별단속",0,또한 원산지 표시 리플릿 및 원산지 표시판 배부와 식중독 예방수칙 및 <b>코로나</b>19 예방 홍보활동도 병행할 예정이다. 최교상 감사담당관은 &quot;이번 단속을 통해 양심이 사라진 행위와 원산지 및 식품위해 사고 예방에 최선을... ,1
