pm10,pm25,co,no2,so2,o3,time
10.0,5.0,0.3,0.011,0.003,0.028,9.0
15.0,6.0,0.3,0.017,0.003,0.02,8.0
15.0,8.0,0.3,0.019,0.003,0.014,7.0
15.0,8.0,0.4,0.015,0.003,0.016,6.0
17.0,11.0,0.3,0.012,0.003,0.02,5.0
17.0,9.0,0.3,0.01,0.003,0.023,4.0
15.0,8.0,0.3,0.014,0.003,0.023,3.0
14.0,8.0,0.4,0.016,0.003,0.024,2.0
14.0,6.0,0.4,0.018,0.003,0.022,1.0
17.0,9.0,0.4,0.018,0.003,0.024,24.0
19.0,11.0,0.4,0.025,0.003,0.021,23.0
18.0,10.0,0.5,0.021,0.003,0.029,22.0
25.0,13.0,0.5,0.023,0.003,0.031,21.0
23.0,14.0,0.5,0.021,0.003,0.034,20.0
11.0,5.0,0.4,0.013,0.003,0.049,14.0
10.0,2.0,0.4,0.012,0.003,0.044,13.0
12.0,4.0,0.4,0.013,0.003,0.039,12.0
10.0,6.0,0.4,0.015,0.003,0.037,11.0
10.0,3.0,0.4,0.015,0.003,0.035,10.0
9.0,2.0,0.4,0.02,0.003,0.029,9.0
11.0,4.0,0.4,0.021,0.002,0.022,8.0
7.0,6.0,0.4,0.019,0.003,0.02,7.0
6.0,1.0,0.3,0.015,0.003,0.024,6.0
6.0,4.0,0.3,0.009,0.002,0.031,5.0
5.0,2.0,0.3,0.009,0.002,0.033,4.0
3.0,2.0,0.3,0.008,0.002,0.033,3.0
5.0,1.0,0.3,0.01,0.003,0.03,2.0
7.0,3.0,0.3,0.011,0.003,0.029,1.0
3.0,1.0,0.3,0.013,0.002,0.028,24.0
5.0,2.0,0.3,0.012,0.003,0.03,23.0
4.0,1.0,0.4,0.014,0.003,0.027,22.0
4.0,3.0,0.4,0.015,0.002,0.025,21.0
3.0,1.0,0.4,0.016,0.003,0.025,20.0
5.0,1.0,0.4,0.016,0.003,0.024,19.0
6.0,2.0,0.4,0.015,0.003,0.028,18.0
5.0,2.0,0.4,0.013,0.003,0.032,17.0
3.0,1.0,0.4,0.015,0.003,0.023,7.0
3.0,1.0,0.3,0.01,0.003,0.027,6.0
3.0,1.0,0.3,0.007,0.003,0.03,5.0
3.0,1.0,0.3,0.007,0.003,0.029,4.0
3.0,1.0,0.3,0.006,0.003,0.031,3.0
3.0,3.0,0.3,0.007,0.003,0.031,2.0
5.0,3.0,0.4,0.01,0.003,0.028,1.0
4.0,4.0,0.4,0.012,0.003,0.028,24.0
8.0,7.0,0.4,0.012,0.003,0.031,23.0
6.0,5.0,0.4,0.011,0.003,0.033,22.0
8.0,6.0,0.4,0.013,0.003,0.035,21.0
10.0,7.0,0.4,0.017,0.003,0.03,20.0
13.0,8.0,0.4,0.018,0.003,0.029,19.0
15.0,10.0,0.4,0.018,0.003,0.029,18.0
9.0,3.0,0.5,0.02,0.003,0.029,17.0
21.0,17.0,0.6,0.027,0.003,0.025,15.0
22.0,16.0,0.6,0.026,0.003,0.028,14.0
37.0,24.0,0.6,0.026,0.003,0.028,13.0
41.0,24.0,0.6,0.028,0.003,0.017,12.0
40.0,23.0,0.6,0.032,0.003,0.011,11.0
40.0,23.0,0.6,0.029,0.003,0.012,10.0
38.0,22.0,0.6,0.027,0.003,0.013,9.0
38.0,23.0,0.5,0.021,0.003,0.018,8.0
40.0,22.0,0.6,0.027,0.003,0.009,7.0
38.0,23.0,0.5,0.019,0.003,0.02,6.0
38.0,26.0,0.5,0.017,0.003,0.022,5.0
38.0,23.0,0.6,0.025,0.003,0.011,4.0
40.0,26.0,0.6,0.023,0.003,0.015,3.0
37.0,23.0,0.6,0.023,0.003,0.017,2.0
40.0,24.0,0.6,0.022,0.003,0.02,1.0
37.0,24.0,0.6,0.022,0.002,0.028,24.0
46.0,25.0,0.6,0.02,0.003,0.03,23.0
44.0,25.0,0.5,0.023,0.003,0.031,22.0
44.0,27.0,0.6,0.022,0.003,0.04,21.0
38.0,24.0,0.6,0.024,0.003,0.043,20.0
43.0,27.0,0.6,0.019,0.003,0.062,19.0
44.0,27.0,0.6,0.019,0.003,0.08,18.0
36.0,24.0,0.5,0.015,0.003,0.078,17.0
32.0,21.0,0.5,0.013,0.003,0.068,16.0
32.0,22.0,0.5,0.012,0.003,0.067,15.0
36.0,22.0,0.6,0.018,0.003,0.058,14.0
38.0,23.0,0.6,0.027,0.003,0.044,13.0
36.0,23.0,0.6,0.023,0.003,0.046,12.0
31.0,20.0,0.5,0.021,0.003,0.039,11.0
30.0,17.0,0.6,0.026,0.003,0.022,10.0
30.0,19.0,0.5,0.023,0.003,0.019,9.0
32.0,20.0,0.5,0.023,0.003,0.014,8.0
33.0,21.0,0.5,0.026,0.003,0.006,7.0
32.0,19.0,0.5,0.016,0.003,0.018,6.0
29.0,20.0,0.5,0.018,0.003,0.014,5.0
28.0,17.0,0.5,0.018,0.003,0.016,4.0
26.0,16.0,0.4,0.013,0.003,0.031,3.0
31.0,20.0,0.5,0.016,0.003,0.024,2.0
48.0,22.0,0.5,0.017,0.003,0.024,1.0
34.0,20.0,0.5,0.014,0.003,0.03,24.0
33.0,22.0,0.5,0.017,0.003,0.029,23.0
32.0,21.0,0.5,0.018,0.003,0.031,22.0
33.0,21.0,0.5,0.017,0.003,0.037,21.0
31.0,22.0,0.5,0.011,0.003,0.047,20.0
29.0,22.0,0.4,0.009,0.003,0.058,19.0
27.0,18.0,0.4,0.008,0.003,0.061,18.0
24.0,16.0,0.4,0.007,0.003,0.063,17.0
24.0,15.0,0.4,0.007,0.003,0.061,16.0
28.0,18.0,0.4,0.008,0.003,0.06,15.0
29.0,20.0,0.4,0.01,0.003,0.061,14.0
29.0,17.0,0.5,0.014,0.003,0.054,13.0
23.0,15.0,0.5,0.013,0.003,0.048,12.0
31.0,22.0,0.5,0.016,0.003,0.035,11.0
25.0,16.0,0.5,0.018,0.003,0.03,10.0
24.0,17.0,0.5,0.017,0.003,0.03,9.0
34.0,21.0,0.5,0.017,0.003,0.019,8.0
37.0,23.0,0.5,0.013,0.003,0.02,7.0
36.0,21.0,0.5,0.013,0.003,0.022,6.0
30.0,16.0,0.5,0.009,0.003,0.03,5.0
28.0,14.0,0.4,0.011,0.003,0.034,4.0
26.0,16.0,0.4,0.012,0.003,0.037,3.0
25.0,14.0,0.4,0.009,0.003,0.05,2.0
28.0,16.0,0.4,0.01,0.003,0.05,1.0
30.0,17.0,0.5,0.017,0.003,0.041,24.0
32.0,17.0,0.5,0.019,0.003,0.039,23.0
40.0,23.0,0.5,0.021,0.003,0.041,22.0
37.0,24.0,0.5,0.017,0.003,0.05,21.0
37.0,24.0,0.5,0.018,0.003,0.056,20.0
39.0,22.0,0.5,0.017,0.003,0.068,19.0
43.0,26.0,0.5,0.017,0.003,0.073,18.0
44.0,29.0,0.5,0.015,0.004,0.082,17.0
37.0,24.0,0.5,0.012,0.003,0.079,16.0
32.0,23.0,0.4,0.01,0.003,0.077,15.0
35.0,22.0,0.5,0.014,0.003,0.08,14.0
32.0,18.0,0.5,0.016,0.003,0.066,13.0
28.0,13.0,0.5,0.024,0.003,0.042,12.0
34.0,11.0,0.5,0.032,0.004,0.022,11.0
30.0,10.0,0.6,0.031,0.003,0.01,10.0
32.0,12.0,0.6,0.033,0.003,0.004,9.0
24.0,8.0,0.6,0.027,0.003,0.004,8.0
26.0,9.0,0.5,0.025,0.003,0.002,7.0
26.0,9.0,0.5,0.027,0.003,0.003,6.0
26.0,12.0,0.5,0.027,0.003,0.003,5.0
24.0,9.0,0.5,0.029,0.003,0.001,4.0
26.0,11.0,0.6,0.033,0.003,0.002,3.0
22.0,8.0,0.5,0.033,0.003,0.002,2.0
22.0,7.0,0.5,0.037,0.003,0.002,1.0
23.0,10.0,0.5,0.037,0.003,0.003,24.0
24.0,12.0,0.5,0.039,0.003,0.005,23.0
23.0,10.0,0.5,0.038,0.003,0.009,22.0
27.0,11.0,0.5,0.042,0.003,0.006,21.0
24.0,11.0,0.6,0.043,0.003,0.009,19.0
21.0,10.0,0.5,0.033,0.003,0.018,18.0
18.0,9.0,0.5,0.039,0.003,0.022,17.0
18.0,9.0,0.6,0.037,0.003,0.025,16.0
29.0,12.0,0.6,0.044,0.003,0.015,15.0
20.0,9.0,0.6,0.04,0.003,0.019,14.0
16.0,6.0,0.5,0.023,0.003,0.034,13.0
25.0,7.0,0.5,0.023,0.003,0.034,12.0
21.0,8.0,0.5,0.025,0.003,0.036,11.0
18.0,8.0,0.4,0.02,0.003,0.04,10.0
29.0,16.0,0.4,0.019,0.003,0.039,9.0
35.0,16.0,0.5,0.021,0.003,0.036,8.0
35.0,18.0,0.5,0.018,0.003,0.036,7.0
44.0,21.0,0.5,0.018,0.004,0.037,6.0
52.0,24.0,0.5,0.016,0.003,0.035,5.0
55.0,26.0,0.5,0.012,0.003,0.04,4.0
58.0,28.0,0.5,0.011,0.003,0.045,3.0
56.0,27.0,0.5,0.01,0.003,0.049,2.0
58.0,30.0,0.5,0.01,0.003,0.052,1.0
57.0,28.0,0.5,0.013,0.003,0.05,24.0
60.0,32.0,0.5,0.015,0.003,0.048,23.0
60.0,30.0,0.5,0.016,0.003,0.049,22.0
69.0,33.0,0.6,0.018,0.003,0.05,21.0
66.0,34.0,0.6,0.019,0.003,0.05,20.0
66.0,33.0,0.6,0.021,0.003,0.051,19.0
58.0,28.0,0.5,0.017,0.004,0.054,18.0
55.0,28.0,0.5,0.016,0.003,0.054,17.0
49.0,27.0,0.5,0.018,0.003,0.053,16.0
46.0,23.0,0.5,0.019,0.003,0.051,15.0
41.0,20.0,0.5,0.02,0.003,0.045,14.0
39.0,21.0,0.5,0.022,0.003,0.04,13.0
39.0,18.0,0.5,0.021,0.003,0.04,12.0
34.0,17.0,0.6,0.024,0.003,0.035,11.0
30.0,18.0,0.6,0.026,0.003,0.023,10.0
24.0,15.0,0.5,0.026,0.003,0.015,9.0
20.0,11.0,0.5,0.026,0.002,0.012,8.0
21.0,11.0,0.4,0.025,0.003,0.014,7.0
20.0,10.0,0.4,0.023,0.003,0.011,6.0
21.0,13.0,0.4,0.019,0.003,0.015,5.0
20.0,12.0,0.4,0.013,0.003,0.027,4.0
18.0,10.0,0.4,0.016,0.003,0.021,3.0
16.0,9.0,0.5,0.023,0.003,0.015,2.0
15.0,10.0,0.4,0.019,0.003,0.021,1.0
14.0,8.0,0.5,0.026,0.003,0.014,24.0
12.0,7.0,0.4,0.022,0.003,0.021,23.0
13.0,8.0,0.4,0.018,0.003,0.027,22.0
14.0,10.0,0.4,0.022,0.003,0.026,21.0
16.0,11.0,0.4,0.024,0.003,0.028,20.0
12.0,7.0,0.5,0.023,0.003,0.032,19.0
12.0,8.0,0.4,0.02,0.003,0.038,18.0
14.0,10.0,0.4,0.017,0.003,0.044,17.0
16.0,10.0,0.4,0.021,0.003,0.038,16.0
13.0,7.0,0.4,0.017,0.003,0.037,15.0
15.0,9.0,0.4,0.017,0.003,0.03,14.0
17.0,10.0,0.4,0.02,0.003,0.029,13.0
14.0,8.0,0.4,0.024,0.003,0.023,12.0
17.0,9.0,0.4,0.024,0.003,0.019,11.0
19.0,9.0,0.5,0.028,0.003,0.012,10.0
23.0,12.0,0.4,0.028,0.003,0.01,9.0
20.0,9.0,0.4,0.03,0.003,0.008,8.0
20.0,10.0,0.4,0.023,0.003,0.013,7.0
18.0,8.0,0.4,0.021,0.003,0.016,6.0
18.0,10.0,0.4,0.016,0.003,0.021,5.0
17.0,8.0,0.4,0.015,0.003,0.02,4.0
17.0,9.0,0.4,0.014,0.003,0.025,3.0
17.0,6.0,0.4,0.013,0.003,0.029,2.0
19.0,7.0,0.3,0.012,0.002,0.03,1.0
12.0,5.0,0.3,0.012,0.002,0.027,24.0
11.0,6.0,0.3,0.011,0.003,0.027,23.0
10.0,4.0,0.3,0.011,0.003,0.026,22.0
12.0,6.0,0.3,0.012,0.003,0.026,21.0
12.0,7.0,0.4,0.012,0.003,0.028,20.0
20.0,10.0,0.4,0.014,0.003,0.028,19.0
19.0,11.0,0.4,0.013,0.003,0.029,18.0
24.0,14.0,0.5,0.013,0.003,0.035,17.0
17.0,10.0,0.5,0.015,0.003,0.039,16.0
16.0,11.0,0.6,0.023,0.003,0.025,15.0
14.0,9.0,0.6,0.03,0.003,0.006,14.0
14.0,8.0,0.5,0.024,0.002,0.008,13.0
7.0,3.0,0.5,0.019,0.002,0.011,12.0
8.0,3.0,0.4,0.018,0.003,0.011,11.0
8.0,4.0,0.4,0.018,0.003,0.008,10.0
7.0,3.0,0.4,0.017,0.003,0.008,9.0
9.0,5.0,0.4,0.017,0.003,0.008,8.0
9.0,3.0,0.3,0.014,0.003,0.011,7.0
9.0,5.0,0.3,0.009,0.002,0.016,6.0
13.0,6.0,0.3,0.008,0.003,0.02,5.0
10.0,6.0,0.3,0.01,0.003,0.021,4.0
12.0,6.0,0.3,0.009,0.003,0.026,3.0
6.0,3.0,0.3,0.007,0.002,0.031,2.0
10.0,6.0,0.3,0.01,0.003,0.033,1.0
6.0,4.0,0.3,0.014,0.002,0.033,24.0
6.0,3.0,0.3,0.017,0.003,0.032,23.0
9.0,5.0,0.3,0.017,0.003,0.036,22.0
12.0,5.0,0.4,0.02,0.003,0.034,21.0
11.0,8.0,0.4,0.018,0.003,0.037,20.0
14.0,13.0,0.5,0.02,0.003,0.028,19.0
19.0,14.0,0.6,0.028,0.002,0.013,18.0
22.0,18.0,0.6,0.028,0.003,0.016,17.0
22.0,16.0,0.6,0.026,0.003,0.02,16.0
26.0,16.0,0.6,0.03,0.003,0.017,15.0
25.0,18.0,0.6,0.027,0.003,0.021,14.0
29.0,20.0,0.6,0.026,0.003,0.021,13.0
28.0,18.0,0.6,0.022,0.003,0.022,12.0
29.0,18.0,0.7,0.027,0.003,0.017,11.0
30.0,19.0,0.6,0.026,0.003,0.014,10.0
30.0,20.0,0.6,0.025,0.003,0.012,9.0
30.0,20.0,0.6,0.023,0.003,0.01,8.0
32.0,23.0,0.6,0.017,0.003,0.018,7.0
32.0,22.0,0.6,0.014,0.003,0.017,6.0
36.0,23.0,0.6,0.017,0.003,0.011,5.0
34.0,22.0,0.6,0.021,0.003,0.01,4.0
36.0,24.0,0.6,0.021,0.003,0.011,3.0
33.0,23.0,0.7,0.025,0.003,0.011,2.0
36.0,25.0,0.7,0.022,0.003,0.019,1.0
34.0,24.0,0.7,0.023,0.003,0.027,24.0
34.0,24.0,0.6,0.021,0.003,0.031,23.0
31.0,22.0,0.6,0.017,0.003,0.039,22.0
31.0,21.0,0.5,0.015,0.003,0.044,21.0
30.0,22.0,0.5,0.015,0.003,0.048,20.0
31.0,24.0,0.5,0.016,0.003,0.052,19.0
26.0,21.0,0.5,0.012,0.003,0.061,18.0
27.0,22.0,0.5,0.009,0.003,0.061,17.0
27.0,19.0,0.5,0.011,0.003,0.059,16.0
26.0,20.0,0.5,0.011,0.003,0.057,15.0
23.0,16.0,0.4,0.007,0.003,0.058,14.0
22.0,12.0,0.4,0.006,0.003,0.058,13.0
28.0,20.0,0.5,0.009,0.003,0.056,12.0
31.0,21.0,0.6,0.011,0.002,0.056,11.0
23.0,13.0,0.5,0.012,0.002,0.051,10.0
18.0,10.0,0.4,0.013,0.002,0.042,9.0
12.0,6.0,0.4,0.013,0.003,0.041,8.0
11.0,8.0,0.4,0.011,0.003,0.037,7.0
10.0,5.0,0.4,0.01,0.003,0.036,6.0
9.0,7.0,0.3,0.007,0.002,0.043,5.0
10.0,6.0,0.3,0.006,0.003,0.042,4.0
11.0,9.0,0.3,0.006,0.002,0.041,3.0
13.0,7.0,0.3,0.007,0.002,0.041,2.0
12.0,7.0,0.4,0.008,0.003,0.041,1.0
13.0,7.0,0.4,0.01,0.003,0.042,24.0
7.0,7.0,0.4,0.011,0.003,0.04,23.0
8.0,5.0,0.3,0.009,0.003,0.041,22.0
12.0,7.0,0.4,0.013,0.002,0.038,21.0
10.0,5.0,0.4,0.01,0.002,0.044,20.0
16.0,7.0,0.4,0.01,0.002,0.044,19.0
17.0,9.0,0.4,0.013,0.003,0.045,18.0
10.0,7.0,0.4,0.015,0.003,0.049,17.0
6.0,4.0,0.4,0.016,0.003,0.045,16.0
3.0,1.0,0.4,0.01,0.003,0.044,15.0
7.0,4.0,0.4,0.011,0.002,0.04,14.0
9.0,7.0,0.3,0.009,0.003,0.04,13.0
11.0,7.0,0.3,0.012,0.002,0.035,12.0
16.0,10.0,0.3,0.015,0.002,0.03,11.0
18.0,13.0,0.3,0.016,0.003,0.026,10.0
17.0,11.0,0.3,0.015,0.003,0.028,9.0
16.0,11.0,0.3,0.018,0.003,0.027,8.0
17.0,12.0,0.3,0.014,0.003,0.031,7.0
17.0,12.0,0.3,0.013,0.003,0.034,6.0
20.0,15.0,0.4,0.016,0.003,0.028,5.0
18.0,13.0,0.4,0.014,0.003,0.028,4.0
18.0,13.0,0.4,0.012,0.003,0.033,3.0
17.0,12.0,0.4,0.012,0.002,0.038,2.0
17.0,12.0,0.4,0.014,0.002,0.042,1.0
26.0,15.0,0.4,0.01,0.003,0.051,24.0
21.0,17.0,0.4,0.023,0.003,0.035,23.0
22.0,17.0,0.5,0.034,0.003,0.031,22.0
21.0,15.0,0.4,0.025,0.003,0.051,21.0
19.0,13.0,0.4,0.025,0.003,0.052,20.0
20.0,14.0,0.4,0.021,0.003,0.057,19.0
22.0,16.0,0.4,0.015,0.003,0.067,18.0
18.0,11.0,0.4,0.014,0.003,0.069,17.0
18.0,14.0,0.4,0.012,0.003,0.069,16.0
21.0,13.0,0.4,0.012,0.003,0.075,15.0
18.0,13.0,0.4,0.013,0.003,0.071,14.0
18.0,13.0,0.4,0.012,0.003,0.063,13.0
15.0,11.0,0.4,0.017,0.002,0.048,12.0
14.0,10.0,0.4,0.016,0.003,0.04,11.0
12.0,5.0,0.4,0.015,0.003,0.032,10.0
12.0,4.0,0.4,0.017,0.003,0.022,9.0
13.0,8.0,0.3,0.013,0.002,0.025,8.0
13.0,11.0,0.3,0.012,0.003,0.024,7.0
13.0,9.0,0.3,0.008,0.002,0.029,6.0
15.0,9.0,0.3,0.005,0.003,0.032,5.0
13.0,9.0,0.3,0.006,0.003,0.031,4.0
13.0,9.0,0.3,0.005,0.002,0.033,3.0
14.0,10.0,0.3,0.006,0.002,0.033,2.0
15.0,9.0,0.3,0.008,0.003,0.033,1.0
15.0,10.0,0.3,0.009,0.003,0.033,24.0
12.0,9.0,0.3,0.01,0.002,0.033,23.0
15.0,11.0,0.3,0.014,0.002,0.031,22.0
16.0,13.0,0.4,0.014,0.003,0.031,21.0
16.0,9.0,0.4,0.016,0.003,0.031,20.0
13.0,10.0,0.3,0.014,0.003,0.039,19.0
14.0,10.0,0.3,0.011,0.003,0.043,18.0
13.0,9.0,0.3,0.012,0.003,0.05,17.0
12.0,7.0,0.3,0.012,0.003,0.052,16.0
11.0,10.0,0.3,0.009,0.003,0.047,15.0
12.0,7.0,0.3,0.008,0.003,0.05,14.0
14.0,11.0,0.3,0.009,0.002,0.048,13.0
16.0,8.0,0.3,0.011,0.003,0.042,12.0
16.0,10.0,0.3,0.013,0.003,0.036,11.0
14.0,7.0,0.3,0.012,0.002,0.036,10.0
17.0,10.0,0.3,0.014,0.003,0.031,9.0
15.0,8.0,0.3,0.013,0.002,0.03,8.0
16.0,8.0,0.3,0.011,0.002,0.03,7.0
13.0,8.0,0.3,0.008,0.002,0.033,6.0
12.0,8.0,0.3,0.006,0.003,0.033,5.0
11.0,7.0,0.3,0.007,0.003,0.031,4.0
10.0,5.0,0.3,0.006,0.002,0.032,3.0
11.0,7.0,0.3,0.005,0.002,0.035,2.0
13.0,6.0,0.3,0.006,0.002,0.036,1.0
11.0,6.0,0.3,0.006,0.002,0.035,24.0
9.0,7.0,0.3,0.006,0.003,0.035,23.0
10.0,6.0,0.3,0.007,0.002,0.033,22.0
10.0,7.0,0.3,0.008,0.003,0.033,21.0
10.0,6.0,0.3,0.008,0.002,0.033,20.0
10.0,5.0,0.3,0.006,0.003,0.036,19.0
9.0,5.0,0.3,0.008,0.002,0.042,18.0
7.0,3.0,0.3,0.007,0.003,0.046,17.0
9.0,6.0,0.3,0.009,0.003,0.044,16.0
8.0,8.0,0.3,0.01,0.003,0.044,15.0
9.0,6.0,0.3,0.009,0.002,0.043,14.0
9.0,6.0,0.3,0.007,0.003,0.038,13.0
8.0,4.0,0.3,0.009,0.002,0.034,12.0
10.0,5.0,0.3,0.015,0.003,0.028,11.0
10.0,7.0,0.3,0.018,0.003,0.023,10.0
13.0,8.0,0.3,0.019,0.003,0.023,9.0
13.0,9.0,0.3,0.019,0.002,0.023,8.0
14.0,9.0,0.3,0.016,0.002,0.02,7.0
12.0,8.0,0.3,0.011,0.003,0.024,6.0
11.0,6.0,0.3,0.007,0.002,0.027,5.0
11.0,7.0,0.3,0.009,0.002,0.022,4.0
10.0,9.0,0.3,0.007,0.002,0.03,3.0
8.0,5.0,0.3,0.007,0.003,0.031,2.0
7.0,3.0,0.3,0.007,0.002,0.029,1.0
5.0,3.0,0.3,0.012,0.003,0.022,24.0
5.0,4.0,0.3,0.012,0.002,0.021,23.0
6.0,5.0,0.3,0.012,0.003,0.022,22.0
19.0,11.0,0.4,0.016,0.002,0.021,21.0
22.0,9.0,0.4,0.027,0.002,0.018,20.0
12.0,11.0,0.4,0.018,0.003,0.027,19.0
13.0,8.0,0.4,0.014,0.002,0.028,18.0
11.0,8.0,0.3,0.008,0.003,0.045,14.0
13.0,10.0,0.3,0.01,0.003,0.044,13.0
15.0,9.0,0.3,0.009,0.003,0.045,12.0
16.0,14.0,0.3,0.011,0.002,0.039,11.0
15.0,9.0,0.3,0.012,0.003,0.035,10.0
16.0,11.0,0.3,0.01,0.003,0.035,9.0
14.0,10.0,0.3,0.013,0.002,0.031,8.0
15.0,11.0,0.3,0.01,0.002,0.033,7.0
14.0,12.0,0.3,0.007,0.003,0.036,6.0
14.0,12.0,0.3,0.005,0.003,0.038,5.0
16.0,12.0,0.3,0.004,0.002,0.038,4.0
15.0,12.0,0.3,0.005,0.002,0.035,3.0
19.0,13.0,0.3,0.006,0.003,0.033,2.0
20.0,14.0,0.3,0.008,0.003,0.034,1.0
21.0,15.0,0.3,0.013,0.003,0.036,24.0
20.0,16.0,0.4,0.014,0.002,0.039,23.0
21.0,16.0,0.4,0.016,0.003,0.044,22.0
26.0,20.0,0.4,0.017,0.003,0.06,21.0
24.0,16.0,0.4,0.016,0.003,0.058,20.0
21.0,16.0,0.4,0.013,0.003,0.053,19.0
21.0,15.0,0.4,0.012,0.003,0.054,18.0
18.0,16.0,0.4,0.011,0.003,0.059,17.0
18.0,12.0,0.4,0.011,0.003,0.053,16.0
18.0,14.0,0.3,0.009,0.003,0.057,15.0
17.0,11.0,0.3,0.007,0.003,0.057,14.0
19.0,13.0,0.3,0.007,0.003,0.054,13.0
17.0,10.0,0.3,0.009,0.003,0.047,12.0
16.0,9.0,0.3,0.009,0.003,0.039,11.0
16.0,8.0,0.3,0.009,0.002,0.033,10.0
16.0,8.0,0.3,0.008,0.003,0.028,9.0
13.0,8.0,0.3,0.01,0.002,0.024,8.0
15.0,11.0,0.3,0.008,0.003,0.025,7.0
14.0,9.0,0.3,0.007,0.003,0.026,6.0
14.0,12.0,0.3,0.006,0.002,0.027,5.0
15.0,10.0,0.3,0.006,0.002,0.027,4.0
15.0,10.0,0.3,0.006,0.002,0.028,3.0
15.0,11.0,0.3,0.006,0.003,0.028,2.0
15.0,10.0,0.3,0.008,0.002,0.029,1.0
16.0,11.0,0.3,0.008,0.003,0.031,24.0
15.0,10.0,0.3,0.009,0.003,0.033,23.0
16.0,11.0,0.3,0.011,0.003,0.033,22.0
11.0,8.0,0.3,0.011,0.003,0.038,21.0
14.0,11.0,0.4,0.012,0.003,0.039,20.0
15.0,10.0,0.4,0.009,0.003,0.05,19.0
12.0,8.0,0.3,0.007,0.003,0.055,18.0
11.0,5.0,0.3,0.007,0.003,0.057,17.0
8.0,6.0,0.3,0.006,0.003,0.052,16.0
9.0,3.0,0.3,0.006,0.003,0.051,15.0
6.0,4.0,0.3,0.005,0.003,0.049,14.0
6.0,4.0,0.3,0.005,0.003,0.047,13.0
8.0,4.0,0.3,0.005,0.003,0.045,12.0
4.0,1.0,0.3,0.005,0.003,0.04,11.0
6.0,4.0,0.3,0.006,0.003,0.037,10.0
7.0,5.0,0.3,0.007,0.003,0.032,9.0
8.0,5.0,0.3,0.009,0.003,0.029,8.0
9.0,6.0,0.3,0.008,0.002,0.028,7.0
9.0,6.0,0.3,0.007,0.002,0.03,6.0
10.0,7.0,0.3,0.005,0.003,0.03,5.0
11.0,6.0,0.3,0.006,0.003,0.029,4.0
10.0,5.0,0.3,0.006,0.002,0.03,3.0
11.0,8.0,0.3,0.006,0.003,0.035,2.0
14.0,8.0,0.3,0.006,0.003,0.036,1.0
12.0,8.0,0.3,0.007,0.002,0.038,24.0
12.0,8.0,0.3,0.006,0.003,0.04,23.0
12.0,7.0,0.3,0.007,0.003,0.04,22.0
10.0,8.0,0.3,0.006,0.003,0.04,21.0
8.0,6.0,0.3,0.006,0.003,0.04,20.0
7.0,6.0,0.3,0.006,0.003,0.042,19.0
7.0,4.0,0.3,0.005,0.003,0.043,18.0
8.0,7.0,0.3,0.006,0.003,0.044,17.0
8.0,5.0,0.3,0.006,0.003,0.048,16.0
11.0,6.0,0.3,0.006,0.003,0.048,15.0
11.0,7.0,0.3,0.006,0.003,0.048,14.0
16.0,8.0,0.3,0.007,0.003,0.047,13.0
13.0,7.0,0.3,0.01,0.003,0.042,12.0
17.0,10.0,0.3,0.01,0.003,0.038,11.0
14.0,9.0,0.4,0.013,0.003,0.034,10.0
12.0,10.0,0.3,0.011,0.003,0.035,9.0
13.0,9.0,0.3,0.012,0.003,0.031,8.0
13.0,8.0,0.3,0.009,0.003,0.032,7.0
13.0,9.0,0.3,0.008,0.003,0.033,6.0
16.0,11.0,0.3,0.006,0.003,0.034,5.0
15.0,10.0,0.3,0.007,0.003,0.031,4.0
17.0,13.0,0.3,0.008,0.003,0.029,3.0
19.0,13.0,0.4,0.013,0.003,0.025,2.0
16.0,15.0,0.4,0.015,0.003,0.028,1.0
17.0,12.0,0.4,0.011,0.003,0.033,24.0
19.0,13.0,0.4,0.016,0.003,0.028,23.0
18.0,13.0,0.4,0.017,0.003,0.032,22.0
21.0,14.0,0.4,0.014,0.003,0.039,21.0
21.0,15.0,0.4,0.016,0.003,0.042,20.0
19.0,16.0,0.4,0.017,0.003,0.047,19.0
19.0,14.0,0.4,0.012,0.003,0.053,18.0
20.0,14.0,0.4,0.014,0.003,0.05,17.0
22.0,16.0,0.4,0.01,0.003,0.054,16.0
22.0,16.0,0.4,0.01,0.003,0.052,15.0
22.0,14.0,0.4,0.012,0.003,0.047,14.0
26.0,16.0,0.4,0.014,0.003,0.042,13.0
27.0,15.0,0.4,0.017,0.003,0.033,12.0
28.0,17.0,0.4,0.019,0.003,0.026,11.0
24.0,14.0,0.4,0.02,0.003,0.021,10.0
21.0,15.0,0.4,0.019,0.003,0.019,9.0
21.0,14.0,0.4,0.02,0.003,0.013,8.0
